鄉鎮市區,有無車位,租賃層次,總樓層數,建物型態,屋齡,坪數,建物現況格局.房,建物現況格局.廳,建物現況格局.衛,建物現況格局.隔間,有無管理組織,有無附傢俱,總額元
0,0,1,5,1,33,48,3,1,1,1,0,0,62000
1,0,14,20,4,11,30,2,1,1,1,1,1,50000
11,0,9,15,4,9,30,2,2,1,1,1,1,50000
11,0,1,5,1,15,30,2,1,1,1,0,0,17000
4,0,13,15,4,10,72,4,2,2,1,1,1,107000
4,0,6,15,4,12,36,2,2,2,1,1,1,65000
11,0,7,15,4,3,18,1,1,1,1,1,1,35000
4,0,4,15,0,18,12,1,0,3,0,0,1,17000
11,0,6,15,4,9,36,3,1,2,1,1,1,44000
10,0,12,15,0,14,66,5,0,2,0,1,0,41000
9,0,2,5,3,29,12,1,1,1,1,1,1,14000
10,0,14,25,4,6,96,3,2,3,1,1,1,110000
9,0,16,20,4,14,36,2,1,1,1,1,1,50000
8,0,4,15,4,12,66,4,2,2,1,1,1,89000
10,0,8,15,4,6,48,2,2,2,1,1,1,50000
9,0,6,20,4,13,18,1,0,2,0,1,1,47000
10,0,1,10,2,14,30,3,0,1,0,1,0,20000
9,0,15,20,0,30,162,2,0,4,0,1,0,266000
9,0,5,15,4,12,60,2,2,2,1,1,1,98000
9,0,1,15,4,37,36,3,0,3,0,0,0,35000
8,0,3,15,0,38,78,5,0,2,0,1,0,89000
9,0,6,15,4,37,30,3,0,3,0,1,0,32000
9,0,9,30,0,27,60,2,1,1,1,1,1,83000
8,0,3,15,0,36,36,2,0,3,0,0,0,38000
1,0,7,20,4,11,24,2,2,1,1,1,1,56000
4,0,26,50,0,27,276,1,0,4,1,1,0,614000
11,0,4,5,1,45,18,2,1,1,1,0,1,11000
0,0,18,20,4,12,78,4,2,2,1,1,1,95000
3,0,2,15,4,5,24,2,1,1,1,1,1,50000
3,0,12,15,4,19,24,3,1,1,1,1,1,35000
3,0,15,25,4,7,78,4,2,3,1,1,1,80000
3,0,10,10,0,49,102,3,0,4,0,1,0,176000
5,0,7,10,2,20,66,5,0,4,0,1,0,83000
3,0,9,10,0,49,78,3,0,1,0,1,1,125000
3,0,10,15,0,42,30,1,0,1,0,1,0,38000
3,0,8,15,0,46,66,2,0,2,0,0,1,74000
2,0,9,15,4,15,24,2,2,1,1,1,1,53000
2,0,5,10,2,4,30,1,1,1,1,1,1,59000
2,0,7,15,4,39,60,4,2,2,1,1,1,50000
2,0,2,10,2,5,30,2,1,1,1,0,1,44000
2,0,6,10,2,18,60,4,2,2,1,0,1,95000
6,0,1,5,1,15,24,3,2,2,1,0,1,20000
4,0,8,15,4,15,18,2,1,1,1,1,1,26000
4,0,1,15,0,23,36,3,0,4,0,0,1,38000
4,0,9,15,4,38,18,2,1,1,1,0,0,20000
6,0,7,10,2,30,42,3,2,2,1,1,0,32000
3,0,1,10,2,37,24,4,0,2,0,0,0,41000
2,0,7,5,2,46,66,3,2,2,1,0,0,86000
3,0,4,15,4,36,48,3,0,3,0,0,0,56000
3,0,3,5,1,47,36,3,2,2,1,0,0,29000
3,0,4,20,4,4,30,2,1,1,1,1,1,65000
5,0,-1,10,2,29,42,4,1,3,1,1,1,17000
3,0,1,10,2,38,30,1,0,1,1,0,0,50000
3,0,2,15,4,13,24,1,1,1,1,1,1,32000
3,0,6,15,4,16,60,3,2,2,1,1,1,68000
3,0,16,20,4,11,48,2,2,1,1,1,1,65000
7,0,3,5,1,8,36,3,2,2,1,1,0,32000
7,0,1,15,4,5,186,5,3,3,1,1,0,2e+05
7,0,5,10,2,9,54,3,2,2,1,1,1,56000
7,0,5,5,1,41,24,3,2,1,1,0,1,26000
7,0,12,20,4,17,60,3,2,2,1,1,1,65000
0,0,3,10,2,24,18,1,0,1,1,1,1,20000
1,0,5,15,4,25,18,3,0,1,0,0,0,23000
1,0,12,20,4,11,30,2,1,1,1,1,1,56000
9,0,4,10,2,44,30,3,2,2,1,1,1,44000
9,0,9,20,3,11,30,1,1,1,1,1,1,32000
9,0,6,15,4,15,18,2,1,1,1,1,1,41000
9,0,6,10,2,31,48,4,2,2,1,1,1,47000
8,0,6,10,2,37,48,4,2,2,1,1,1,41000
10,0,3,5,1,15,24,1,1,1,1,0,1,17000
10,0,4,10,2,16,48,4,2,2,1,1,0,32000
8,0,9,15,4,15,18,1,1,1,1,1,1,26000
9,0,8,25,0,10,66,5,0,4,0,1,0,218000
11,0,10,30,3,4,18,1,1,1,1,1,1,23000
0,0,1,5,1,47,36,3,2,2,1,1,0,29000
3,0,8,10,3,26,12,1,1,1,1,1,0,11000
3,0,8,10,3,12,18,1,1,1,1,1,1,26000
5,0,4,5,1,15,18,2,2,1,1,0,1,26000
3,0,3,5,1,49,30,2,1,1,1,0,0,20000
3,0,6,15,3,11,18,1,1,1,1,1,1,23000
5,0,6,10,2,15,18,2,1,1,1,0,1,29000
2,0,1,5,1,15,18,3,0,3,0,0,1,23000
2,0,3,10,2,12,24,2,1,1,1,1,1,32000
2,0,2,15,0,44,36,4,0,1,0,1,0,44000
2,0,8,20,0,25,174,1,0,1,0,1,0,437000
4,0,7,15,0,21,18,1,0,4,0,1,1,17000
6,0,5,10,2,34,48,3,2,1,1,0,1,32000
6,0,15,35,4,5,66,4,2,2,1,1,1,53000
6,0,21,35,4,5,66,3,2,2,1,1,1,47000
6,0,20,35,4,5,72,4,2,2,1,1,1,59000
4,0,3,15,0,11,66,1,1,2,1,1,1,110000
3,0,4,15,0,37,36,3,2,2,1,1,1,41000
3,0,4,15,0,37,66,3,2,2,1,1,1,80000
5,0,1,5,1,26,54,4,2,2,1,1,0,32000
3,0,11,20,4,24,18,1,2,1,1,1,1,20000
5,0,2,5,1,41,6,1,0,1,1,0,1,8000
5,0,6,10,2,25,24,2,1,1,1,1,1,23000
5,0,6,15,4,12,36,1,1,1,1,1,1,35000
3,0,9,15,0,40,42,3,1,1,1,1,0,53000
3,0,1,5,1,15,30,3,1,1,1,0,0,35000
0,0,3,10,2,40,48,4,2,2,1,1,0,44000
0,0,7,10,2,34,42,2,2,2,1,1,1,62000
7,0,4,15,4,13,72,3,2,2,1,1,1,92000
0,0,6,20,4,9,114,2,2,2,1,1,1,2e+05
0,0,2,15,0,38,78,2,3,3,1,1,0,62000
8,0,5,10,2,34,42,3,2,2,1,1,0,41000
8,0,5,15,4,15,30,2,1,1,1,1,0,26000
9,0,11,15,4,14,12,1,1,1,1,1,1,26000
9,0,5,15,4,20,24,2,1,1,1,1,1,32000
